,player_id,gw_no,eltype,team_code,Name,Team,ElemTypeName,BuyPrice,SellPrice,ActualSellPrice,Points,Contribution,Squad,SquadFreeHit,Lineup,Bench,Captain,TransferIn,TransferOut,TripleCaptain,Wildcard,FreeHit,BenchBoost,BudgetInBank,AvailableTransfers,PenalizedTransfers,important
0,47,1,1,4,Ryan,4,G,45,45,0,9,9,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
1,235,1,1,12,de Gea,12,G,55,55,0,10,10,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
2,4,1,2,1,Maitland-Niles,1,D,50,50,0,12,12,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
3,42,1,2,4,Dunk,4,D,45,45,0,11,11,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
4,61,1,2,3,Mepham,3,D,45,45,0,10,10,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
5,142,1,2,8,Mina,8,D,55,55,0,9,9,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
6,447,1,2,5,Pieters,5,D,45,45,0,14,14,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
7,96,1,3,5,Gudmundsson,5,M,60,60,0,9,9,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
8,191,1,3,10,Salah,10,M,125,125,0,12,12,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
9,214,1,3,11,Sterling,11,M,120,120,0,20,40,1,0,1,0,1,1,0,0,0,0,1,5,1,0,2
10,217,1,3,11,Mahrez,11,M,85,85,0,14,14,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
11,442,1,3,17,Ndombele,17,M,60,60,0,8,8,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
12,90,1,4,5,Barnes,5,F,65,65,0,13,13,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
13,188,1,4,10,Origi,10,F,55,55,0,12,12,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
14,233,1,4,12,Rashford,12,F,85,85,0,13,13,1,0,1,0,0,1,0,0,0,0,1,5,1,0,2
15,411,2,1,20,Patrício,20,G,50,50,0,9,9,1,0,1,0,0,1,0,0,1,0,0,20,1,0,2
16,141,2,2,8,Digne,8,D,60,60,0,11,11,1,0,1,0,0,1,0,0,1,0,0,20,1,0,2
17,142,2,2,8,Mina,8,D,55,55,0,7,7,1,0,1,0,0,0,0,0,1,0,0,20,1,0,1
18,297,2,2,15,Lundstram,15,D,40,40,0,14,14,1,0,1,0,0,1,0,0,1,0,0,20,1,0,2
19,192,2,3,10,Mané,10,M,115,115,0,13,13,1,0,1,0,0,1,0,0,1,0,0,20,1,0,2
20,215,2,3,11,De Bruyne,11,M,95,95,0,11,11,1,0,1,0,0,1,0,0,1,0,0,20,1,0,2
21,287,2,3,14,Cantwell,14,M,45,45,0,10,10,1,0,1,0,0,1,0,0,1,0,0,20,1,0,2
22,346,2,3,17,Lamela,17,M,60,60,0,12,12,1,0,1,0,0,1,0,0,1,0,0,20,1,0,2
